
2025/07/27 (18:16:30) | ===> btop++ v.1.4.0
2025/07/27 (18:16:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:16:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:16:33) | WARNING: Failed to join _runner thread on exit!

2025/07/27 (18:16:38) | ===> btop++ v.1.4.0
2025/07/27 (18:16:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:16:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:16:43) | WARNING: Failed to join _runner thread on exit!

2025/07/27 (18:18:29) | ===> btop++ v.1.4.0
2025/07/27 (18:18:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:18:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:18:48) | WARNING: Failed to join _runner thread on exit!

2025/07/27 (18:42:14) | ===> btop++ v.1.4.0
2025/07/27 (18:42:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:42:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:42:17) | WARNING: Failed to join _runner thread on exit!

2025/07/27 (18:42:54) | ===> btop++ v.1.4.0
2025/07/27 (18:42:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:42:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:42:58) | WARNING: Failed to join _runner thread on exit!

2025/07/27 (18:51:27) | ===> btop++ v.1.4.0
2025/07/27 (18:51:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/27 (18:51:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/27 (18:51:35) | WARNING: Failed to join _runner thread on exit!

2025/07/28 (19:38:00) | ===> btop++ v.1.4.0
2025/07/28 (19:38:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/07/28 (19:38:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/28 (19:38:04) | WARNING: Failed to join _runner thread on exit!

2025/08/02 (12:14:59) | ===> btop++ v.1.4.0
2025/08/02 (12:14:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/02 (12:14:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/08/07 (20:00:56) | ===> btop++ v.1.4.0
2025/08/07 (20:00:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/08/07 (20:01:07) | ===> btop++ v.1.4.0
2025/08/07 (20:01:07) | WARNING: Intel GPU: Failed to initialize PMU
